2024-03-01 18:47:48.947 [warning] Running on the desktop; workspaceId=9b39e438b0bc9c0d49fa66aa334b7474; storageUri=vscode-userdata:/home/mrv/.config/Code/User/globalStorage/ms-vscode.remote-repositories
2024-03-01 18:47:48.952 [info] [ GHPR] Not currently installed or enabled; waiting...
2024-03-01 18:51:06.685 [warning] Running on the desktop; workspaceId=79bb59ffd0684f402561c6ff0cbf0e50; storageUri=vscode-userdata:/home/mrv/.config/Code/User/globalStorage/ms-vscode.remote-repositories
2024-03-01 18:51:06.714 [info] [ GHPR] Not currently installed or enabled; waiting...
2024-03-01 18:51:06.746 [info] [    2] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:06.747 [info] [    3] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/tasks.json)
2024-03-01 18:51:06.747 [info] [    4] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/launch.json)
2024-03-01 18:51:06.748 [info] [    5] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:06.748 [info] [    6] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/tasks.json)
2024-03-01 18:51:06.748 [info] [    7] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/launch.json)
2024-03-01 18:51:06.751 [info] [    8] fs.stat(vscode-vfs://github/Raphael-08/test)
2024-03-01 18:51:06.788 [info] [    9] fs.stat(vscode-vfs://github/Raphael-08/test/.git/config)
2024-03-01 18:51:06.788 [info] [   10] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode)
2024-03-01 18:51:06.818 [info] [    2] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json): Not found • ChangeStore query took 7 ms • Querying provider...
2024-03-01 18:51:06.818 [info] [    3] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/tasks.json): Not found • ChangeStore query took 8 ms • Querying provider...
2024-03-01 18:51:06.819 [info] [    4] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/launch.json): Not found • ChangeStore query took 8 ms • Querying provider...
